t,med_1424,med_1389,med_1408,med_1422,med_1378
6,59.7663002,59.74567728,59.77550125,59.82690048,59.74340057
6.09999999999999,59.7804985,59.73756611,59.77360153,59.83980179,59.74150085
6.19999999999999,59.78369904,59.74600468,59.77059937,59.84949875,59.74359894
6.29999999999999,59.76539993,59.75383656,59.76449966,59.86019897,59.74769974
6.39999999999999,59.76520157,59.7625937,59.76819992,59.85079956,59.75600052
6.49999999999999,59.75680161,59.76864028,59.77080154,59.8465004,59.76380157
6.59999999999999,59.7784996,59.77460892,59.77069855,59.84130096,59.77030182
6.69999999999999,59.76649857,59.78975218,59.76979828,59.82939911,59.77809906
6.79999999999999,59.75870132,59.79368735,59.76900101,59.81710052,59.78300095
6.89999999999999,59.77539825,59.79675648,59.770401,59.80350113,59.78699875
6.99999999999999,59.7779007,59.80306559,59.77740097,59.78929901,59.78910065
7.09999999999999,59.78820038,59.79479841,59.77999878,59.77690125,59.78749847
7.19999999999999,59.78910065,59.7915358,59.7845993,59.76509857,59.78699875
7.29999999999999,59.78329849,59.78405811,59.78310013,59.75740051,59.78609848
7.39999999999999,59.79109955,59.78254422,59.79130173,59.75099945,59.78530121
7.49999999999999,59.79970169,59.77366129,59.79660034,59.74919891,59.78730011
7.59999999999999,59.79790115,59.77643561,59.80329895,59.74869919,59.78929901
7.69999999999999,59.80979919,59.77155396,59.80250168,59.74760056,59.79249954
7.79999999999999,59.81129837,59.78283421,59.80139923,59.75080109,59.79719925
7.89999999999999,59.80550003,59.79037214,59.80329895,59.75310135,59.80279922
7.99999999999999,59.79410172,59.79511463,59.80329895,59.75550079,59.8091011
8.09999999999999,59.78900146,59.80230428,59.80450058,59.7582016,59.81380081
8.19999999999999,59.79740143,59.806566,59.80130005,59.76200104,59.81790161
8.29999999999999,59.78979874,59.81948639,59.79299927,59.76380157,59.81880188
8.39999999999999,59.78450012,59.8241739,59.79059982,59.76499939,59.81719971
8.49999999999999,59.78889847,59.82114782,59.7881012,59.76869965,59.81240082
8.59999999999999,59.78839874,59.81825095,59.7879982,59.77069855,59.80369949
8.69999999999999,59.77590179,59.80390183,59.78210068,59.77569962,59.79290009
8.79999999999999,59.79090118,59.79243526,59.77659988,59.78229904,59.7806015
8.89999999999998,59.77180099,59.78553424,59.77220154,59.78979874,59.76929855
8.99999999999998,59.78020096,59.76807349,59.77299881,59.79769897,59.75759888
9.09999999999998,59.78210068,59.75582059,59.77339935,59.80699921,59.75059891
9.19999999999998,59.77750015,59.74934211,59.77470016,59.81549835,59.74430084
9.29999999999998,59.76499939,59.73935389,59.77140045,59.82379913,59.74290085
9.39999999999998,59.78150177,59.74165061,59.76810074,59.82929993,59.74319839
9.49999999999998,59.76409912,59.75123227,59.77130127,59.83309937,59.74860001
9.59999999999998,59.77590179,59.75060411,59.770401,59.83440018,59.75749969
9.69999999999998,59.77809906,59.7715815,59.77479935,59.83060074,59.76309967
9.79999999999998,59.77140045,59.77054971,59.77190018,59.82450104,59.77190018
9.89999999999998,59.77640152,59.78620814,59.76929855,59.81639862,59.77679825
9.99999999999998,59.75999832,59.79253807,59.76890182,59.80609894,59.7818985
10.1,59.77590179,59.7928017,59.77280045,59.79449844,59.78760147
10.2,59.77479935,59.80067377,59.7757988,59.78300095,59.78760147
10.3,59.78440094,59.79196301,59.77600098,59.72439957,59.78820038
10.4,59.76879883,59.78335244,59.77870178,59.73429871,59.78620148
10.5,59.77679825,59.7773796,59.77610016,59.73020172,59.78639984
10.6,59.78160095,59.78354661,59.78390121,59.73249817,59.78329849
10.7,59.78910065,59.76998404,59.78739929,59.74079895,59.78070068
10.8,59.78590012,59.7699859,59.78839874,59.75370026,59.77840042
10.9,59.79349899,59.76712971,59.78850174,59.7677002,59.78129959
11,59.79330063,59.77889323,59.7845993,59.77809906,59.77939987
11.1,59.78789902,59.77865506,59.78889847,59.78089905,59.78390121
11.2,59.79290009,59.78145472,59.79059982,59.77890015,59.78480148
11.3,59.78499985,59.78143992,59.78789902,59.77259827,59.79150009
11.4,59.79330063,59.79239739,59.78580093,59.7492981,59.792099
11.5,59.78160095,59.78896029,59.77980042,59.73680115,59.79510117
11.6,59.77690125,59.79502356,59.78030014,59.73870087,59.79669952
11.7,59.77119827,59.79468046,59.78229904,59.75030136,59.79499817
11.8,59.78570175,59.79089011,59.78170013,59.76380157,59.79290009
11.9,59.76300049,59.79657582,59.77399826,59.77479935,59.78760147
12,59.77809906,59.78948564,59.77019882,59.77819824,59.77939987
12.1,59.77149963,59.7861075,59.76599884,59.7798996,59.77629852
12.2,59.77109909,59.78439247,59.76610184,59.78070068,59.76729965
12.3,59.76910019,59.76866735,59.76890182,59.78469849,59.76060104
12.4,59.76950073,59.75875065,59.76679993,59.79019928,59.75139999
12.5,59.76259995,59.7488235,59.76169968,59.7981987,59.74819946
12.6,59.76210022,59.75131964,59.76119995,59.80179977,59.74549866
